attempt_id,student_id,exam_type,test_number,test_date,question_id,topic,subtopic,difficulty,is_correct,time_taken,total_marks,marks_obtained
ATT_00077,STU_0001,JEE,3,2026-02-15,Q_0010,Physics,Optics,easy,True,64,4,4
ATT_00078,STU_0001,JEE,3,2026-02-15,Q_0011,Physics,Modern Physics,easy,True,47,4,4
ATT_00079,STU_0001,JEE,3,2026-02-15,Q_0012,Physics,Modern Physics,easy,True,64,4,4
ATT_00080,STU_0001,JEE,3,2026-02-15,Q_0013,Chemistry,Physical Chemistry,easy,True,35,4,4
ATT_00081,STU_0001,JEE,3,2026-02-15,Q_0014,Chemistry,Physical Chemistry,easy,True,62,4,4
ATT_00082,STU_0001,JEE,3,2026-02-15,Q_0015,Chemistry,Physical Chemistry,easy,True,73,4,4
ATT_00083,STU_0001,JEE,3,2026-02-15,Q_0016,Chemistry,Organic Chemistry,easy,True,69,4,4
ATT_00084,STU_0001,JEE,3,2026-02-15,Q_0017,Chemistry,Organic Chemistry,medium,True,110,4,4
ATT_00085,STU_0001,JEE,3,2026-02-15,Q_0018,Chemistry,Organic Chemistry,easy,True,33,4,4
ATT_00086,STU_0001,JEE,3,2026-02-15,Q_0019,Chemistry,Inorganic Chemistry,easy,True,85,4,4
ATT_00087,STU_0001,JEE,3,2026-02-15,Q_0020,Chemistry,Inorganic Chemistry,medium,True,103,4,4
ATT_00088,STU_0001,JEE,3,2026-02-15,Q_0021,Chemistry,Inorganic Chemistry,easy,True,38,4,4
ATT_00089,STU_0001,JEE,3,2026-02-15,Q_0022,Mathematics,Algebra,easy,True,65,4,4
ATT_00090,STU_0001,JEE,3,2026-02-15,Q_0023,Mathematics,Algebra,easy,True,47,4,4
ATT_00091,STU_0001,JEE,3,2026-02-15,Q_0024,Mathematics,Algebra,easy,True,31,4,4
ATT_00092,STU_0001,JEE,3,2026-02-15,Q_0025,Mathematics,Calculus,easy,True,43,4,4
ATT_00093,STU_0001,JEE,3,2026-02-15,Q_0026,Mathematics,Calculus,easy,True,32,4,4
ATT_00094,STU_0001,JEE,3,2026-02-15,Q_0027,Mathematics,Calculus,medium,True,86,4,4
ATT_00095,STU_0001,JEE,3,2026-02-15,Q_0028,Mathematics,Trigonometry,easy,True,41,4,4
ATT_00096,STU_0001,JEE,3,2026-02-15,Q_0029,Mathematics,Trigonometry,easy,True,44,4,4
ATT_00097,STU_0001,JEE,3,2026-02-15,Q_0030,Mathematics,Coordinate Geometry,easy,True,83,4,4
ATT_00098,STU_0001,JEE,3,2026-02-15,Q_0031,Mathematics,Coordinate Geometry,medium,True,99,4,4
ATT_00099,STU_0001,JEE,3,2026-02-15,Q_0032,Mathematics,Probability,easy,True,82,4,4
ATT_00100,STU_0001,JEE,3,2026-02-15,Q_0033,Mathematics,Probability,easy,True,68,4,4
ATT_00101,STU_0002,JEE,1,2026-02-01,Q_0001,Physics,Mechanics,easy,True,75,4,4
ATT_00102,STU_0002,JEE,1,2026-02-01,Q_0002,Physics,Mechanics,easy,True,59,4,4
ATT_00103,STU_0002,JEE,1,2026-02-01,Q_0003,Physics,Thermodynamics,easy,True,68,4,4
ATT_00104,STU_0002,JEE,1,2026-02-01,Q_0004,Physics,Thermodynamics,easy,True,69,4,4
ATT_00105,STU_0002,JEE,1,2026-02-01,Q_0005,Physics,Thermodynamics,easy,True,88,4,4
ATT_00106,STU_0002,JEE,1,2026-02-01,Q_0006,Physics,Electromagnetism,easy,True,65,4,4
ATT_00107,STU_0002,JEE,1,2026-02-01,Q_0007,Physics,Electromagnetism,easy,True,70,4,4
ATT_00108,STU_0002,JEE,1,2026-02-01,Q_0008,Physics,Electromagnetism,easy,True,88,4,4
ATT_00109,STU_0002,JEE,1,2026-02-01,Q_0009,Physics,Optics,easy,True,41,4,4
ATT_00110,STU_0002,JEE,1,2026-02-01,Q_0010,Physics,Optics,easy,True,64,4,4
ATT_00111,STU_0002,JEE,1,2026-02-01,Q_0011,Physics,Optics,easy,True,85,4,4
ATT_00112,STU_0002,JEE,1,2026-02-01,Q_0012,Physics,Modern Physics,easy,True,89,4,4
ATT_00113,STU_0002,JEE,1,2026-02-01,Q_0013,Physics,Modern Physics,easy,True,63,4,4
ATT_00114,STU_0002,JEE,1,2026-02-01,Q_0014,Chemistry,Physical Chemistry,easy,True,40,4,4
ATT_00115,STU_0002,JEE,1,2026-02-01,Q_0015,Chemistry,Physical Chemistry,easy,True,45,4,4
ATT_00116,STU_0002,JEE,1,2026-02-01,Q_0016,Chemistry,Organic Chemistry,easy,True,56,4,4
ATT_00117,STU_0002,JEE,1,2026-02-01,Q_0017,Chemistry,Organic Chemistry,easy,True,37,4,4
ATT_00118,STU_0002,JEE,1,2026-02-01,Q_0018,Chemistry,Organic Chemistry,medium,True,149,4,4
ATT_00119,STU_0002,JEE,1,2026-02-01,Q_0019,Chemistry,Inorganic Chemistry,easy,True,45,4,4
ATT_00120,STU_0002,JEE,1,2026-02-01,Q_0020,Chemistry,Inorganic Chemistry,easy,True,68,4,4
ATT_00121,STU_0002,JEE,1,2026-02-01,Q_0021,Mathematics,Algebra,easy,True,35,4,4
ATT_00122,STU_0002,JEE,1,2026-02-01,Q_0022,Mathematics,Algebra,medium,True,74,4,4
ATT_00123,STU_0002,JEE,1,2026-02-01,Q_0023,Mathematics,Calculus,medium,True,104,4,4
ATT_00124,STU_0002,JEE,1,2026-02-01,Q_0024,Mathematics,Calculus,easy,True,31,4,4
ATT_00125,STU_0002,JEE,1,2026-02-01,Q_0025,Mathematics,Calculus,medium,False,121,4,-1
ATT_00126,STU_0002,JEE,1,2026-02-01,Q_0026,Mathematics,Trigonometry,medium,False,121,4,-1
ATT_00127,STU_0002,JEE,1,2026-02-01,Q_0027,Mathematics,Trigonometry,easy,True,83,4,4
ATT_00128,STU_0002,JEE,1,2026-02-01,Q_0028,Mathematics,Coordinate Geometry,easy,True,54,4,4
ATT_00129,STU_0002,JEE,1,2026-02-01,Q_0029,Mathematics,Coordinate Geometry,medium,True,78,4,4
ATT_00130,STU_0002,JEE,1,2026-02-01,Q_0030,Mathematics,Coordinate Geometry,easy,True,36,4,4
ATT_00131,STU_0002,JEE,1,2026-02-01,Q_0031,Mathematics,Probability,medium,False,206,4,-1
ATT_00132,STU_0002,JEE,1,2026-02-01,Q_0032,Mathematics,Probability,medium,True,62,4,4
ATT_00133,STU_0002,JEE,1,2026-02-01,Q_0033,Mathematics,Probability,medium,True,145,4,4
ATT_00134,STU_0002,JEE,2,2026-02-08,Q_0001,Physics,Mechanics,easy,True,49,4,4
ATT_00135,STU_0002,JEE,2,2026-02-08,Q_0002,Physics,Mechanics,easy,True,65,4,4
ATT_00136,STU_0002,JEE,2,2026-02-08,Q_0003,Physics,Thermodynamics,easy,True,45,4,4
ATT_00137,STU_0002,JEE,2,2026-02-08,Q_0004,Physics,Thermodynamics,easy,True,68,4,4
ATT_00138,STU_0002,JEE,2,2026-02-08,Q_0005,Physics,Thermodynamics,easy,True,53,4,4
ATT_00139,STU_0002,JEE,2,2026-02-08,Q_0006,Physics,Electromagnetism,easy,True,64,4,4
ATT_00140,STU_0002,JEE,2,2026-02-08,Q_0007,Physics,Electromagnetism,easy,True,39,4,4
ATT_00141,STU_0002,JEE,2,2026-02-08,Q_0008,Physics,Electromagnetism,easy,True,80,4,4
ATT_00142,STU_0002,JEE,2,2026-02-08,Q_0009,Physics,Optics,easy,True,86,4,4
ATT_00143,STU_0002,JEE,2,2026-02-08,Q_0010,Physics,Optics,easy,True,77,4,4
ATT_00144,STU_0002,JEE,2,2026-02-08,Q_0011,Physics,Modern Physics,easy,True,80,4,4
ATT_00145,STU_0002,JEE,2,2026-02-08,Q_0012,Physics,Modern Physics,easy,True,61,4,4
ATT_00146,STU_0002,JEE,2,2026-02-08,Q_0013,Physics,Modern Physics,easy,True,70,4,4
ATT_00147,STU_0002,JEE,2,2026-02-08,Q_0014,Chemistry,Physical Chemistry,easy,True,75,4,4
ATT_00148,STU_0002,JEE,2,2026-02-08,Q_0015,Chemistry,Physical Chemistry,easy,True,51,4,4
ATT_00149,STU_0002,JEE,2,2026-02-08,Q_0016,Chemistry,Organic Chemistry,easy,True,72,4,4
ATT_00150,STU_0002,JEE,2,2026-02-08,Q_0017,Chemistry,Organic Chemistry,easy,True,52,4,4
ATT_00151,STU_0002,JEE,2,2026-02-08,Q_0018,Chemistry,Inorganic Chemistry,easy,True,72,4,4
ATT_00152,STU_0002,JEE,2,2026-02-08,Q_0019,Chemistry,Inorganic Chemistry,easy,True,84,4,4
ATT_00153,STU_0002,JEE,2,2026-02-08,Q_0020,Mathematics,Algebra,medium,True,104,4,4
ATT_00154,STU_0002,JEE,2,2026-02-08,Q_0021,Mathematics,Algebra,easy,True,68,4,4
ATT_00155,STU_0002,JEE,2,2026-02-08,Q_0022,Mathematics,Calculus,easy,True,44,4,4
ATT_00156,STU_0002,JEE,2,2026-02-08,Q_0023,Mathematics,Calculus,easy,True,86,4,4
ATT_00157,STU_0002,JEE,2,2026-02-08,Q_0024,Mathematics,Trigonometry,medium,True,92,4,4
ATT_00158,STU_0002,JEE,2,2026-02-08,Q_0025,Mathematics,Trigonometry,easy,True,80,4,4
ATT_00159,STU_0002,JEE,2,2026-02-08,Q_0026,Mathematics,Trigonometry,medium,True,74,4,4
ATT_00160,STU_0002,JEE,2,2026-02-08,Q_0027,Mathematics,Coordinate Geometry,medium,True,118,4,4
ATT_00161,STU_0002,JEE,2,2026-02-08,Q_0028,Mathematics,Coordinate Geometry,easy,True,70,4,4
ATT_00162,STU_0002,JEE,2,2026-02-08,Q_0029,Mathematics,Coordinate Geometry,easy,True,67,4,4
ATT_00163,STU_0002,JEE,2,2026-02-08,Q_0030,Mathematics,Probability,medium,True,74,4,4
ATT_00164,STU_0002,JEE,2,2026-02-08,Q_0031,Mathematics,Probability,medium,True,150,4,4
ATT_00165,STU_0002,JEE,3,2026-02-15,Q_0001,Physics,Mechanics,easy,True,52,4,4
ATT_00166,STU_0002,JEE,3,2026-02-15,Q_0002,Physics,Mechanics,easy,True,79,4,4
ATT_00167,STU_0002,JEE,3,2026-02-15,Q_0003,Physics,Thermodynamics,easy,True,44,4,4
ATT_00168,STU_0002,JEE,3,2026-02-15,Q_0004,Physics,Thermodynamics,easy,True,66,4,4
ATT_00169,STU_0002,JEE,3,2026-02-15,Q_0005,Physics,Thermodynamics,easy,True,39,4,4
ATT_00170,STU_0002,JEE,3,2026-02-15,Q_0006,Physics,Electromagnetism,easy,True,59,4,4
ATT_00171,STU_0002,JEE,3,2026-02-15,Q_0007,Physics,Electromagnetism,easy,True,69,4,4
ATT_00172,STU_0002,JEE,3,2026-02-15,Q_0008,Physics,Electromagnetism,easy,True,70,4,4
ATT_00173,STU_0002,JEE,3,2026-02-15,Q_0009,Physics,Optics,easy,True,32,4,4
ATT_00174,STU_0002,JEE,3,2026-02-15,Q_0010,Physics,Optics,easy,True,84,4,4
ATT_00175,STU_0002,JEE,3,2026-02-15,Q_0011,Physics,Optics,easy,True,78,4,4
ATT_00176,STU_0002,JEE,3,2026-02-15,Q_0012,Physics,Modern Physics,easy,True,48,4,4
ATT_00177,STU_0002,JEE,3,2026-02-15,Q_0013,Physics,Modern Physics,easy,True,67,4,4
ATT_00178,STU_0002,JEE,3,2026-02-15,Q_0014,Physics,Modern Physics,easy,True,74,4,4
ATT_00179,STU_0002,JEE,3,2026-02-15,Q_0015,Chemistry,Physical Chemistry,easy,True,61,4,4
ATT_00180,STU_0002,JEE,3,2026-02-15,Q_0016,Chemistry,Physical Chemistry,easy,True,86,4,4
ATT_00181,STU_0002,JEE,3,2026-02-15,Q_0017,Chemistry,Organic Chemistry,easy,True,39,4,4
ATT_00182,STU_0002,JEE,3,2026-02-15,Q_0018,Chemistry,Organic Chemistry,easy,True,81,4,4
ATT_00183,STU_0002,JEE,3,2026-02-15,Q_0019,Chemistry,Inorganic Chemistry,easy,True,53,4,4
ATT_00184,STU_0002,JEE,3,2026-02-15,Q_0020,Chemistry,Inorganic Chemistry,easy,True,83,4,4
ATT_00185,STU_0002,JEE,3,2026-02-15,Q_0021,Mathematics,Algebra,medium,True,75,4,4
ATT_00186,STU_0002,JEE,3,2026-02-15,Q_0022,Mathematics,Algebra,medium,True,73,4,4
ATT_00187,STU_0002,JEE,3,2026-02-15,Q_0023,Mathematics,Algebra,easy,True,86,4,4
ATT_00188,STU_0002,JEE,3,2026-02-15,Q_0024,Mathematics,Calculus,easy,True,35,4,4
ATT_00189,STU_0002,JEE,3,2026-02-15,Q_0025,Mathematics,Calculus,medium,True,85,4,4
ATT_00190,STU_0002,JEE,3,2026-02-15,Q_0026,Mathematics,Trigonometry,easy,True,43,4,4
ATT_00191,STU_0002,JEE,3,2026-02-15,Q_0027,Mathematics,Trigonometry,easy,True,45,4,4
ATT_00192,STU_0002,JEE,3,2026-02-15,Q_0028,Mathematics,Coordinate Geometry,medium,True,64,4,4
ATT_00193,STU_0002,JEE,3,2026-02-15,Q_0029,Mathematics,Coordinate Geometry,easy,True,32,4,4
ATT_00194,STU_0002,JEE,3,2026-02-15,Q_0030,Mathematics,Coordinate Geometry,medium,True,123,4,4
ATT_00195,STU_0002,JEE,3,2026-02-15,Q_0031,Mathematics,Probability,medium,True,120,4,4
ATT_00196,STU_0002,JEE,3,2026-02-15,Q_0032,Mathematics,Probability,easy,True,31,4,4
ATT_00197,STU_0002,JEE,3,2026-02-15,Q_0033,Mathematics,Probability,easy,True,75,4,4
ATT_00198,STU_0003,JEE,1,2026-02-01,Q_0001,Physics,Mechanics,easy,True,61,4,4
ATT_00199,STU_0003,JEE,1,2026-02-01,Q_0002,Physics,Mechanics,easy,True,36,4,4
ATT_00200,STU_0003,JEE,1,2026-02-01,Q_0003,Physics,Mechanics,easy,True,51,4,4
ATT_00201,STU_0003,JEE,1,2026-02-01,Q_0004,Physics,Thermodynamics,easy,True,41,4,4
ATT_00202,STU_0003,JEE,1,2026-02-01,Q_0005,Physics,Thermodynamics,easy,True,75,4,4
ATT_00203,STU_0003,JEE,1,2026-02-01,Q_0006,Physics,Electromagnetism,easy,True,82,4,4
ATT_00204,STU_0003,JEE,1,2026-02-01,Q_0007,Physics,Electromagnetism,easy,True,69,4,4
ATT_00205,STU_0003,JEE,1,2026-02-01,Q_0008,Physics,Optics,easy,True,84,4,4
ATT_00206,STU_0003,JEE,1,2026-02-01,Q_0009,Physics,Optics,easy,True,68,4,4
ATT_00207,STU_0003,JEE,1,2026-02-01,Q_0010,Physics,Optics,easy,True,58,4,4
ATT_00208,STU_0003,JEE,1,2026-02-01,Q_0011,Physics,Modern Physics,easy,True,66,4,4
ATT_00209,STU_0003,JEE,1,2026-02-01,Q_0012,Physics,Modern Physics,easy,True,44,4,4
ATT_00210,STU_0003,JEE,1,2026-02-01,Q_0013,Chemistry,Physical Chemistry,easy,True,48,4,4
ATT_00211,STU_0003,JEE,1,2026-02-01,Q_0014,Chemistry,Physical Chemistry,easy,True,39,4,4
ATT_00212,STU_0003,JEE,1,2026-02-01,Q_0015,Chemistry,Organic Chemistry,easy,True,82,4,4
ATT_00213,STU_0003,JEE,1,2026-02-01,Q_0016,Chemistry,Organic Chemistry,easy,True,61,4,4
ATT_00214,STU_0003,JEE,1,2026-02-01,Q_0017,Chemistry,Organic Chemistry,easy,True,43,4,4
ATT_00215,STU_0003,JEE,1,2026-02-01,Q_0018,Chemistry,Inorganic Chemistry,easy,True,71,4,4
ATT_00216,STU_0003,JEE,1,2026-02-01,Q_0019,Chemistry,Inorganic Chemistry,easy,True,85,4,4
ATT_00217,STU_0003,JEE,1,2026-02-01,Q_0020,Mathematics,Algebra,easy,True,78,4,4
ATT_00218,STU_0003,JEE,1,2026-02-01,Q_0021,Mathematics,Algebra,easy,True,49,4,4
ATT_00219,STU_0003,JEE,1,2026-02-01,Q_0022,Mathematics,Algebra,easy,True,61,4,4
ATT_00220,STU_0003,JEE,1,2026-02-01,Q_0023,Mathematics,Calculus,easy,True,40,4,4
ATT_00221,STU_0003,JEE,1,2026-02-01,Q_0024,Mathematics,Calculus,easy,True,57,4,4
ATT_00222,STU_0003,JEE,1,2026-02-01,Q_0025,Mathematics,Trigonometry,easy,True,45,4,4
ATT_00223,STU_0003,JEE,1,2026-02-01,Q_0026,Mathematics,Trigonometry,easy,True,33,4,4
ATT_00224,STU_0003,JEE,1,2026-02-01,Q_0027,Mathematics,Trigonometry,easy,True,57,4,4
ATT_00225,STU_0003,JEE,1,2026-02-01,Q_0028,Mathematics,Coordinate Geometry,easy,True,88,4,4
ATT_00226,STU_0003,JEE,1,2026-02-01,Q_0029,Mathematics,Coordinate Geometry,easy,True,43,4,4
ATT_00227,STU_0003,JEE,1,2026-02-01,Q_0030,Mathematics,Probability,easy,True,63,4,4
ATT_00228,STU_0003,JEE,1,2026-02-01,Q_0031,Mathematics,Probability,easy,True,67,4,4
ATT_00229,STU_0003,JEE,1,2026-02-01,Q_0032,Mathematics,Probability,easy,True,65,4,4
ATT_00230,STU_0003,JEE,2,2026-02-08,Q_0001,Physics,Mechanics,easy,True,52,4,4
ATT_00231,STU_0003,JEE,2,2026-02-08,Q_0002,Physics,Mechanics,easy,True,56,4,4
ATT_00232,STU_0003,JEE,2,2026-02-08,Q_0003,Physics,Mechanics,easy,True,88,4,4
ATT_00233,STU_0003,JEE,2,2026-02-08,Q_0004,Physics,Thermodynamics,easy,True,57,4,4
ATT_00234,STU_0003,JEE,2,2026-02-08,Q_0005,Physics,Thermodynamics,easy,True,79,4,4
ATT_00235,STU_0003,JEE,2,2026-02-08,Q_0006,Physics,Electromagnetism,easy,True,51,4,4
ATT_00236,STU_0003,JEE,2,2026-02-08,Q_0007,Physics,Electromagnetism,easy,True,89,4,4
ATT_00237,STU_0003,JEE,2,2026-02-08,Q_0008,Physics,Optics,easy,True,80,4,4
ATT_00238,STU_0003,JEE,2,2026-02-08,Q_0009,Physics,Optics,easy,True,36,4,4
ATT_00239,STU_0003,JEE,2,2026-02-08,Q_0010,Physics,Optics,easy,True,44,4,4
ATT_00240,STU_0003,JEE,2,2026-02-08,Q_0011,Physics,Modern Physics,easy,True,67,4,4
ATT_00241,STU_0003,JEE,2,2026-02-08,Q_0012,Physics,Modern Physics,easy,True,59,4,4
ATT_00242,STU_0003,JEE,2,2026-02-08,Q_0013,Physics,Modern Physics,easy,True,33,4,4
ATT_00243,STU_0003,JEE,2,2026-02-08,Q_0014,Chemistry,Physical Chemistry,easy,True,68,4,4
ATT_00244,STU_0003,JEE,2,2026-02-08,Q_0015,Chemistry,Physical Chemistry,easy,True,87,4,4
ATT_00245,STU_0003,JEE,2,2026-02-08,Q_0016,Chemistry,Physical Chemistry,easy,True,48,4,4
ATT_00246,STU_0003,JEE,2,2026-02-08,Q_0017,Chemistry,Organic Chemistry,easy,True,61,4,4
ATT_00247,STU_0003,JEE,2,2026-02-08,Q_0018,Chemistry,Organic Chemistry,easy,True,47,4,4
ATT_00248,STU_0003,JEE,2,2026-02-08,Q_0019,Chemistry,Organic Chemistry,easy,True,72,4,4
ATT_00249,STU_0003,JEE,2,2026-02-08,Q_0020,Chemistry,Inorganic Chemistry,easy,True,74,4,4
ATT_00250,STU_0003,JEE,2,2026-02-08,Q_0021,Chemistry,Inorganic Chemistry,easy,True,79,4,4
